,coordinates,count,lng,lat,max_dist
136,31.570606249999997_29.596248850000002,82580,31.57060625,29.59624885,0.0
137,78.420229_23.970895,82261,78.420229,23.970895,33.23613942262631
138,-76.62048175000001_39.284712999999996,81541,-76.62048175000001,39.284713,7.838750645900972
139,27.00651085_38.40793050000001,81351,27.00651085,38.40793050000001,8.206722075042917
140,-40.292822650000005_-20.280410500000002,80931,-40.292822650000005,-20.2804105,2.129053143415374
141,39.65404835_24.462089,80477,39.65404835,24.462089,153.49744429720047
142,-42.043358_-22.7372246,80026,-42.043358,-22.7372246,0.0
143,-5.9235451_37.383197949999996,79949,-5.9235451,37.38319795,19.21004757533137
144,80.8675545_27.1397585,79031,80.8675545,27.1397585,55.85349696117336
145,3.3386053999999996_6.493112249999999,78773,3.3386054,6.493112249999999,18.769509811909323
146,-100.44059455_20.7152746,78529,-100.44059455,20.7152746,41.056546400246994
147,-69.92839191646635_18.48577492687975,78069,-69.92839191646635,18.48577492687975,14.435234784373664
148,24.68440835_-22.34263245,77775,24.68440835,-22.34263245,0.0
149,-81.7054672_41.495939500000006,77490,-81.7054672,41.495939500000006,1.0611737148591525
150,-121.469664_38.5617218,77380,-121.469664,38.5617218,23.43543705410328
151,18.43215155_-22.9664182,77218,18.43215155,-22.9664182,402.19117504210163
152,53.6557101_23.895048750000004,76932,53.6557101,23.895048750000004,102.02802996041089
153,39.2823902_-6.8788112,76726,39.2823902,-6.8788112,922.3285909484837
154,-104.92209349999999_39.713563,76558,-104.9220935,39.713563,4.822708784824179
155,9.159336549999999_45.4613453,76441,9.15933655,45.4613453,2.3907017936581214
156,2.76996795_39.3916979,76309,2.76996795,39.3916979,127.8351852849603
157,53.6557101_23.89504875,76250,53.6557101,23.89504875,37.15522852187141
158,-85.7223455_38.195555,76060,-85.7223455,38.195555,8.192923860450579
159,-99.1614802_19.38061275,75726,-99.1614802,19.38061275,1.9701778933708938
160,-86.441236_39.766555499999996,75496,-86.441236,39.7665555,87.6070209494234
161,-71.0887125_42.3136695,75368,-71.0887125,42.3136695,2.192146696302972
162,-66.93064395_10.483539100000002,75283,-66.93064395,10.483539100000002,0.0
163,32.56916015_0.2892674499999999,74958,32.56916015,0.2892674499999999,0.0
164,-64.52161749999999_-8.984888,74182,-64.52161749999999,-8.984888,264.373423376661
165,-77.27595280000001_18.1154073,73691,-77.27595280000001,18.1154073,8.883458456830233
166,-86.79154899999999_36.20000805,73550,-86.79154899999999,36.20000805,4.44104171175145
167,-70.75202338066484_19.4558674610317,73383,-70.75202338066484,19.4558674610317,29.74601819466729
168,140.939941_41.859722,73134,140.939941,41.859722,56.74358708620725
169,18.4890615_-34.1216577,73054,18.4890615,-34.1216577,7.607994023567357
170,-80.8467855_35.20905899999999,73002,-80.8467855,35.20905899999999,0.0
171,-79.54182859999999_21.71069255,72609,-79.54182859999999,21.71069255,0.0
172,-48.35858365_-19.00439155,72516,-48.35858365,-19.00439155,65.2653188880222
173,-75.80014150000001_45.2487908,72312,-75.80014150000001,45.2487908,43.34882246319624
174,-82.66946745_40.365159500000004,72133,-82.66946745,40.3651595,45.64736825279449
175,-122.63090815_45.53640175,72123,-122.63090815,45.53640175,3.7174161143964035
